epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2829,1.23932,2.92761,1.35311,0.02486,0.99165,0.25138,0.16105,1.31899,2.70016,1.68389,0.000365646,0.000365646,0.000365646
2,65.7043,1.22448,2.06199,1.36228,0.25725,0.81745,0.32664,0.21304,1.46434,1.90069,1.78536,0.000728693,0.000728693,0.000728693
3,91.8128,1.2045,1.85089,1.30273,0.24522,0.70129,0.3228,0.20414,1.40672,2.2077,1.84966,0.00108441,0.00108441,0.00108441
4,118.105,1.22151,1.75905,1.28575,0.34883,0.60975,0.43465,0.28477,1.39801,1.54567,1.808,0.001078,0.001078,0.001078
5,145.388,1.15866,1.68762,1.26141,0.34868,0.78569,0.48979,0.33059,1.32289,1.52581,1.62531,0.001067,0.001067,0.001067
6,173.884,1.15947,1.61923,1.25253,0.35093,0.74575,0.45521,0.30185,1.35285,1.6566,1.59781,0.00105601,0.00105601,0.00105601
7,201.165,1.14116,1.55915,1.23505,0.3756,0.76264,0.46958,0.32418,1.29818,1.38251,1.60396,0.00104501,0.00104501,0.00104501
8,230.125,1.14429,1.52431,1.22957,0.36615,0.77373,0.48693,0.32477,1.35985,1.40522,1.60807,0.00103401,0.00103401,0.00103401
9,257.052,1.12795,1.50874,1.2164,0.39268,0.73237,0.51398,0.34734,1.31929,1.42842,1.64783,0.00102301,0.00102301,0.00102301
10,283.926,1.11168,1.47933,1.20857,0.41414,0.73435,0.53237,0.35886,1.33502,1.28138,1.57432,0.00101201,0.00101201,0.00101201
11,311.141,1.10841,1.44548,1.20938,0.44539,0.70561,0.5481,0.37243,1.24796,1.32059,1.561,0.00100101,0.00100101,0.00100101
12,337.737,1.08403,1.42859,1.20185,0.40088,0.64568,0.51607,0.35111,1.24021,1.39803,1.50235,0.000990012,0.000990012,0.000990012
13,364.127,1.09876,1.38809,1.19,0.48699,0.65195,0.5512,0.37912,1.30112,1.28903,1.582,0.000979013,0.000979013,0.000979013
14,389.575,1.07701,1.37766,1.19359,0.45263,0.68114,0.55192,0.37662,1.31413,1.25143,1.56337,0.000968014,0.000968014,0.000968014
15,416.154,1.07533,1.35226,1.18558,0.48872,0.65847,0.57226,0.37972,1.36883,1.24748,1.63098,0.000957015,0.000957015,0.000957015
16,444.868,1.07625,1.34058,1.17773,0.53429,0.61131,0.58851,0.40865,1.18877,1.2199,1.50082,0.000946016,0.000946016,0.000946016
17,472.104,1.05172,1.32686,1.17688,0.44857,0.62715,0.5844,0.40264,1.31982,1.18559,1.58188,0.000935018,0.000935018,0.000935018
18,499.262,1.06816,1.28931,1.18878,0.44946,0.66987,0.58501,0.40406,1.30103,1.30563,1.58312,0.000924019,0.000924019,0.000924019
19,527.009,1.05196,1.28036,1.16831,0.52239,0.64843,0.61304,0.42871,1.21175,1.14374,1.51649,0.00091302,0.00091302,0.00091302
20,554.279,1.04059,1.28358,1.17305,0.5477,0.65634,0.6081,0.40545,1.33454,1.10582,1.53063,0.000902021,0.000902021,0.000902021
21,581.19,1.05437,1.26573,1.17441,0.5074,0.67212,0.59969,0.41727,1.25032,1.16456,1.57483,0.000891022,0.000891022,0.000891022
22,607.649,1.05323,1.26676,1.17478,0.54574,0.66101,0.63298,0.43932,1.22487,1.07735,1.54775,0.000880023,0.000880023,0.000880023
23,634.853,1.04532,1.2305,1.15991,0.51081,0.66206,0.60407,0.42599,1.20687,1.2493,1.51205,0.000869024,0.000869024,0.000869024
24,661.958,1.02823,1.22507,1.16084,0.51434,0.6696,0.61696,0.42601,1.2482,1.08334,1.50889,0.000858025,0.000858025,0.000858025
25,689.255,1.03002,1.19981,1.15473,0.5361,0.66453,0.63044,0.44447,1.31046,1.17436,1.59328,0.000847026,0.000847026,0.000847026
26,716.652,1.01048,1.18511,1.15559,0.57263,0.6766,0.64512,0.44853,1.2498,1.08558,1.51526,0.000836027,0.000836027,0.000836027
27,743.65,1.00725,1.19745,1.15102,0.52396,0.67289,0.64312,0.44832,1.2569,1.08065,1.52849,0.000825029,0.000825029,0.000825029
28,770.734,1.01934,1.19164,1.1591,0.56616,0.6714,0.63874,0.44987,1.26387,1.07994,1.51905,0.00081403,0.00081403,0.00081403
29,798,1.01211,1.14927,1.15504,0.565,0.65738,0.64818,0.45308,1.21935,1.03945,1.5573,0.000803031,0.000803031,0.000803031
30,824.804,0.99634,1.15254,1.14497,0.52171,0.67971,0.63815,0.43831,1.32841,1.17389,1.5825,0.000792032,0.000792032,0.000792032
31,849.551,0.99858,1.15678,1.14474,0.55063,0.69748,0.64598,0.44229,1.36491,1.06912,1.62263,0.000781033,0.000781033,0.000781033
32,876.033,0.99434,1.13392,1.13936,0.53218,0.70063,0.65573,0.4639,1.26519,1.13212,1.57605,0.000770034,0.000770034,0.000770034
33,902.711,0.98569,1.13403,1.14852,0.58027,0.6572,0.6434,0.44788,1.28148,1.01283,1.54402,0.000759035,0.000759035,0.000759035
34,929.667,0.97315,1.10833,1.13134,0.60816,0.66421,0.67998,0.47817,1.18833,0.99255,1.49,0.000748036,0.000748036,0.000748036
35,956.234,0.95213,1.09364,1.11776,0.56035,0.71729,0.68957,0.48812,1.22872,1.12717,1.51914,0.000737037,0.000737037,0.000737037
36,983.264,0.97277,1.0968,1.13552,0.55158,0.64398,0.65882,0.46484,1.16792,1.08164,1.43267,0.000726038,0.000726038,0.000726038
37,1010.14,0.9697,1.10798,1.13601,0.59024,0.63521,0.67499,0.47338,1.23643,1.13036,1.50227,0.00071504,0.00071504,0.00071504
38,1036.04,0.96422,1.0789,1.12689,0.57687,0.716,0.6648,0.46142,1.22335,1.00827,1.51059,0.000704041,0.000704041,0.000704041
39,1062.48,0.94773,1.05518,1.11481,0.63193,0.65585,0.66885,0.47812,1.20291,1.04354,1.48274,0.000693042,0.000693042,0.000693042
40,1090.49,0.94946,1.06357,1.11789,0.58612,0.64876,0.67903,0.48071,1.24842,1.07065,1.513,0.000682043,0.000682043,0.000682043
41,1118.41,0.9346,1.05074,1.11546,0.58995,0.68044,0.69132,0.49204,1.18487,0.93634,1.47231,0.000671044,0.000671044,0.000671044
42,1145.78,0.9445,1.01907,1.11881,0.65526,0.62561,0.68668,0.4814,1.26594,1.06097,1.56751,0.000660045,0.000660045,0.000660045
43,1173.19,0.93566,1.02141,1.107,0.5963,0.67906,0.69713,0.48901,1.17106,1.04493,1.44621,0.000649046,0.000649046,0.000649046
44,1200.28,0.92497,1.02593,1.10213,0.5891,0.68093,0.68826,0.4863,1.19252,0.98508,1.4817,0.000638047,0.000638047,0.000638047
45,1227.58,0.92669,1.0148,1.1046,0.60682,0.67092,0.69324,0.49382,1.19458,0.96834,1.50036,0.000627048,0.000627048,0.000627048
