epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8262,1.07241,1.60403,1.21113,0.38231,0.70853,0.47471,0.3268,1.23722,1.43622,1.53283,0.000365646,0.000365646,0.000365646
2,62.3013,1.10323,1.61434,1.22915,0.31855,0.73458,0.47315,0.30649,1.46469,1.67398,1.77921,0.000728693,0.000728693,0.000728693
3,88.5473,1.11578,1.59905,1.23137,0.38021,0.74864,0.47218,0.30016,1.33783,1.58828,1.60063,0.00108441,0.00108441,0.00108441
4,115.625,1.15934,1.58604,1.25193,0.35434,0.66931,0.46921,0.31719,1.34031,1.42807,1.62621,0.001078,0.001078,0.001078
5,141.649,1.11741,1.54051,1.24126,0.40963,0.62276,0.49768,0.34198,1.30814,1.38549,1.60142,0.001067,0.001067,0.001067
6,167.344,1.12076,1.51195,1.22641,0.45848,0.65054,0.54479,0.36272,1.36544,1.34498,1.59543,0.00105601,0.00105601,0.00105601
7,193.859,1.11035,1.47212,1.21792,0.44945,0.6444,0.5263,0.35463,1.34509,1.29549,1.62954,0.00104501,0.00104501,0.00104501
8,220.78,1.11964,1.44303,1.21921,0.46318,0.64738,0.55712,0.37245,1.44716,1.32228,1.72477,0.00103401,0.00103401,0.00103401
9,247.284,1.10558,1.41842,1.20672,0.41159,0.66244,0.55763,0.3822,1.29273,1.43783,1.60115,0.00102301,0.00102301,0.00102301
10,276.798,1.10585,1.39682,1.20611,0.43589,0.67521,0.54272,0.37415,1.31487,1.44082,1.60113,0.00101201,0.00101201,0.00101201
11,303.186,1.08868,1.36555,1.20017,0.52161,0.62964,0.57452,0.40052,1.27162,1.35207,1.56498,0.00100101,0.00100101,0.00100101
12,328.991,1.07302,1.34072,1.19497,0.4536,0.67392,0.56181,0.38568,1.30483,1.32485,1.62833,0.000990012,0.000990012,0.000990012
13,354.099,1.09002,1.31166,1.18829,0.55944,0.62702,0.62312,0.42954,1.25246,1.14867,1.52245,0.000979013,0.000979013,0.000979013
14,379.636,1.06167,1.30649,1.18641,0.53902,0.65704,0.60599,0.41774,1.30425,1.1449,1.55057,0.000968014,0.000968014,0.000968014
15,405.645,1.06833,1.29275,1.1863,0.56594,0.63412,0.62733,0.4325,1.30673,1.19779,1.5824,0.000957015,0.000957015,0.000957015
16,431.438,1.05337,1.28037,1.1638,0.49828,0.7187,0.60289,0.4181,1.28487,1.3767,1.56355,0.000946016,0.000946016,0.000946016
17,457.487,1.03598,1.26956,1.15907,0.45802,0.69728,0.61265,0.42164,1.31934,1.15039,1.5434,0.000935018,0.000935018,0.000935018
18,483.505,1.04847,1.24188,1.17106,0.47933,0.73643,0.64174,0.44831,1.2612,1.23977,1.50165,0.000924019,0.000924019,0.000924019
19,508.1,1.04364,1.23007,1.16169,0.59191,0.64794,0.62685,0.43537,1.25539,1.09818,1.53423,0.00091302,0.00091302,0.00091302
20,534.09,1.02049,1.23855,1.15973,0.49677,0.6771,0.59469,0.40062,1.30634,1.21949,1.54034,0.000902021,0.000902021,0.000902021
21,559.868,1.02765,1.20096,1.15993,0.50181,0.68254,0.6051,0.42008,1.2352,1.22142,1.56115,0.000891022,0.000891022,0.000891022
22,585.81,1.03003,1.21517,1.15789,0.52668,0.63689,0.63674,0.44711,1.2001,1.08339,1.46474,0.000880023,0.000880023,0.000880023
23,611.957,1.0272,1.1869,1.14897,0.51712,0.6868,0.62472,0.43724,1.26376,1.2621,1.54291,0.000869024,0.000869024,0.000869024
24,636.771,1.01245,1.16942,1.15061,0.50224,0.67111,0.62747,0.42912,1.30571,1.13883,1.5673,0.000858025,0.000858025,0.000858025
25,662.47,1.01007,1.1495,1.13844,0.57173,0.64015,0.64866,0.45444,1.22695,1.06032,1.48069,0.000847026,0.000847026,0.000847026
26,688.992,0.99537,1.13255,1.14188,0.58857,0.6345,0.65605,0.4608,1.26528,1.15227,1.50847,0.000836027,0.000836027,0.000836027
27,715.371,0.97558,1.14035,1.13035,0.53393,0.67611,0.65541,0.46045,1.25829,1.11581,1.51983,0.000825029,0.000825029,0.000825029
28,741.527,1.00346,1.1528,1.14537,0.52735,0.68208,0.62969,0.44562,1.2002,1.15408,1.46832,0.00081403,0.00081403,0.00081403
29,766.277,0.98637,1.1026,1.13753,0.58872,0.6435,0.66438,0.46457,1.24655,1.07524,1.52136,0.000803031,0.000803031,0.000803031
30,792.528,0.98749,1.10261,1.13596,0.51768,0.71458,0.65435,0.44468,1.33908,1.15417,1.55129,0.000792032,0.000792032,0.000792032
31,818.707,0.9814,1.11536,1.13518,0.59383,0.661,0.64966,0.45537,1.23081,1.05191,1.52056,0.000781033,0.000781033,0.000781033
32,844.702,0.97444,1.08911,1.12387,0.57325,0.66142,0.65219,0.45778,1.2249,1.09073,1.46517,0.000770034,0.000770034,0.000770034
33,870.546,0.95616,1.09189,1.13136,0.59608,0.66654,0.66586,0.45971,1.26166,1.04983,1.50091,0.000759035,0.000759035,0.000759035
34,895.521,0.95364,1.06608,1.12026,0.55868,0.68562,0.66778,0.46725,1.20296,1.04336,1.48924,0.000748036,0.000748036,0.000748036
35,920.672,0.93407,1.05209,1.10906,0.56129,0.6704,0.66376,0.46954,1.19913,1.13422,1.48771,0.000737037,0.000737037,0.000737037
36,946.943,0.95132,1.0612,1.12373,0.52754,0.69159,0.64819,0.45825,1.17781,1.24334,1.43765,0.000726038,0.000726038,0.000726038
37,972.81,0.96724,1.06327,1.13161,0.6067,0.6208,0.64396,0.45156,1.26778,1.17525,1.52318,0.00071504,0.00071504,0.00071504
38,999.154,0.94343,1.03398,1.11472,0.59318,0.66132,0.66328,0.46743,1.23257,1.05466,1.48678,0.000704041,0.000704041,0.000704041
39,1024.66,0.93731,1.01966,1.10483,0.58155,0.66874,0.64979,0.45623,1.25482,1.02695,1.51615,0.000693042,0.000693042,0.000693042
40,1049.27,0.94446,1.02211,1.11225,0.57658,0.66282,0.67253,0.478,1.20404,1.05672,1.45211,0.000682043,0.000682043,0.000682043
41,1075.9,0.92017,1.00946,1.10709,0.56184,0.68576,0.66701,0.47403,1.19868,1.00487,1.4465,0.000671044,0.000671044,0.000671044
42,1102.42,0.92901,0.97894,1.10727,0.5679,0.67609,0.67063,0.47531,1.18696,1.01941,1.45188,0.000660045,0.000660045,0.000660045
43,1129.33,0.92478,0.98202,1.09804,0.59834,0.67096,0.67859,0.4803,1.24364,1.02992,1.46445,0.000649046,0.000649046,0.000649046
44,1155.43,0.90802,0.97434,1.09329,0.5863,0.67396,0.68786,0.48564,1.18672,0.98383,1.47135,0.000638047,0.000638047,0.000638047
45,1180.8,0.91443,0.96035,1.09786,0.62952,0.64745,0.68666,0.48366,1.24463,0.99477,1.53882,0.000627048,0.000627048,0.000627048
46,1205.65,0.89678,0.96586,1.09341,0.57919,0.71201,0.67531,0.47792,1.23409,1.00372,1.48094,0.000616049,0.000616049,0.000616049
47,1231.5,0.89662,0.96035,1.09173,0.56646,0.69572,0.65328,0.46548,1.19545,1.10243,1.46158,0.000605051,0.000605051,0.000605051
48,1257.74,0.91089,0.95005,1.09076,0.56655,0.67291,0.68134,0.48307,1.23291,1.05821,1.5123,0.000594052,0.000594052,0.000594052
49,1284.38,0.89869,0.94113,1.07491,0.6343,0.61667,0.68111,0.48766,1.1866,1.00568,1.45275,0.000583053,0.000583053,0.000583053
50,1311.72,0.88225,0.91165,1.0727,0.5983,0.68453,0.67836,0.48906,1.17833,0.97477,1.43242,0.000572054,0.000572054,0.000572054
51,1338.34,0.89208,0.93493,1.08053,0.58004,0.66257,0.66981,0.47502,1.17518,1.04145,1.46307,0.000561055,0.000561055,0.000561055
52,1364.07,0.88029,0.93256,1.08029,0.60689,0.64398,0.66343,0.47289,1.21396,1.05678,1.4475,0.000550056,0.000550056,0.000550056
53,1389.83,0.87815,0.92233,1.07409,0.65076,0.6387,0.66957,0.46847,1.18038,0.99835,1.45957,0.000539057,0.000539057,0.000539057
54,1416.2,0.87869,0.90918,1.07915,0.65978,0.62354,0.68265,0.48403,1.20163,0.95477,1.44312,0.000528058,0.000528058,0.000528058
55,1442.23,0.88468,0.89236,1.07482,0.61321,0.64124,0.65528,0.46927,1.16652,1.03676,1.42953,0.000517059,0.000517059,0.000517059
56,1467.91,0.86719,0.89373,1.07104,0.59563,0.66668,0.66299,0.47666,1.19747,0.98756,1.45659,0.00050606,0.00050606,0.00050606
57,1493.97,0.86482,0.89142,1.06154,0.59164,0.66613,0.67029,0.48354,1.18363,0.91937,1.45495,0.000495062,0.000495062,0.000495062
58,1518.65,0.87446,0.88658,1.07136,0.63113,0.63559,0.68604,0.48616,1.22519,0.96244,1.45793,0.000484063,0.000484063,0.000484063
59,1544.75,0.84905,0.85988,1.06567,0.60295,0.70199,0.68411,0.49373,1.19667,0.94618,1.43067,0.000473064,0.000473064,0.000473064
60,1570.67,0.85282,0.86169,1.06578,0.55927,0.66571,0.65487,0.46947,1.17234,1.05927,1.43007,0.000462065,0.000462065,0.000462065
